GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
39,-2035.8925,-18986.7036,-3347.2092,83.63604816,101.6947,-21022.5961,-3263.57315184,-24184.4745518
40,-2081.4425,-18963.9982,-3357.0539,80.9929116,99.452,-21045.4407,-3276.0609884,-24222.0496884
41,-2056.6458,-18923.1397,-3408.2717,82.9772928,104.9196,-20979.7855,-3325.2944072,-24200.1603072
42,-2074.046,-19002.7764,-3333.4943,81.4625568,82.2249,-21076.8224,-3252.0317432,-24246.6292432
43,-2074.8483,-19033.0675,-3299.5482,80.43391584,104.9003,-21107.9158,-3219.11428416,-24222.1297842
44,-2102.1579,-18946.014,-3360.1604,81.2158704,99.4445,-21048.1719,-3278.9445296,-24227.6719296
45,-2061.2574,-18977.352,-3327.7184,81.1396296,96.4767,-21038.6094,-3246.5787704,-24188.7114704
46,-2091.3112,-18956.9334,-3326.7685,80.69421312,110.4895,-21048.2446,-3246.07428688,-24183.8293869
47,-2096.8408,-19012.9383,-3314.1691,80.71190712,99.8009,-21109.7791,-3233.45719288,-24243.4353929
48,-2036.3838,-19074.5862,-3283.7074,80.96631264,102.1317,-21110.97,-3202.74108736,-24211.5793874
49,-2075.2942,-18962.9817,-3334.2788,81.19612728,106.7041,-21038.2759,-3253.08267272,-24184.6544727
50,-2045.6298,-18944.1083,-3368.6286,81.64864152,96.939,-20989.7381,-3286.97995848,-24179.7790585
51,-2081.9166,-18942.9456,-3367.2336,80.30158632,93.4919,-21024.8622,-3286.93201368,-24218.3023137
52,-2050.0041,-18946.8478,-3332.8,80.61843888,82.1084,-20996.8519,-3252.18156112,-24166.9250611
53,-2087.923,-18976.2934,-3324.17,80.62657848,101.2673,-21064.2164,-3243.54342152,-24206.4925215
54,-2079.2852,-18938.2882,-3329.731,80.853264,89.0051,-21017.5734,-3248.877736,-24177.446036
